Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,82.870003,84.550003,82.860001,84.320000,83.934525,1870500
2023-04-04,84.779999,85.300003,84.309998,85.139999,84.750778,1851600
2023-04-05,85.680000,86.230003,85.150002,85.309998,84.919998,1614000
2023-04-06,85.139999,85.820000,84.739998,85.800003,85.800003,1188100
2023-04-10,85.349998,85.730003,84.849998,85.250000,85.250000,1459300
2023-04-11,85.449997,86.650002,85.040001,86.110001,86.110001,1333000
2023-04-12,85.889999,86.620003,85.650002,85.889999,85.889999,1177000
2023-04-13,85.800003,86.820000,85.400002,86.470001,86.470001,1363700
2023-04-14,86.290001,86.400002,84.800003,84.989998,84.989998,1105300
2023-04-17,85.120003,85.669998,84.370003,85.519997,85.519997,1159100
2023-04-18,85.389999,85.800003,84.070000,85.150002,85.150002,1276000
2023-04-19,85.339996,85.519997,84.970001,85.260002,85.260002,859600
2023-04-20,85.169998,85.440002,84.660004,85.400002,85.400002,720400
2023-04-21,85.809998,86.120003,85.160004,85.680000,85.680000,937000
2023-04-24,85.809998,86.209999,84.830002,85.220001,85.220001,1157600
2023-04-25,85.389999,86.059998,85.209999,85.839996,85.839996,1023200
2023-04-26,85.209999,85.739998,84.809998,84.980003,84.980003,1014900
2023-04-27,84.870003,87.449997,84.870003,87.400002,87.400002,1387200
2023-04-28,87.660004,88.169998,87.199997,87.849998,87.849998,2218300
2023-05-01,87.839996,88.779999,87.709999,88.410004,88.410004,1763400
2023-05-02,88.199997,88.510002,87.510002,88.230003,88.230003,982600
2023-05-03,88.540001,89.169998,87.790001,87.919998,87.919998,1258400
2023-05-04,88.110001,88.559998,87.230003,88.269997,88.269997,974700
2023-05-05,87.889999,88.980003,87.889999,88.949997,88.949997,776600
2023-05-08,88.519997,88.860001,87.989998,88.290001,88.290001,775600
2023-05-09,88.080002,89.040001,87.830002,88.449997,88.449997,1125200
2023-05-10,88.529999,89.480003,88.230003,89.019997,89.019997,1100500
2023-05-11,88.930000,89.620003,88.580002,89.510002,89.510002,1000500
2023-05-12,89.370003,90.309998,89.349998,90.279999,90.279999,1298700
2023-05-15,90.309998,91.169998,89.519997,90.849998,90.849998,1422800
2023-05-16,90.650002,90.650002,89.389999,89.699997,89.699997,1064500
2023-05-17,89.779999,90.000000,88.080002,88.779999,88.779999,1021000
2023-05-18,88.330002,88.750000,87.930000,88.580002,88.580002,903600
2023-05-19,88.589996,89.459999,88.370003,88.919998,88.919998,2950100
2023-05-22,88.650002,89.000000,87.220001,87.720001,87.720001,1544900
2023-05-23,87.779999,87.779999,86.889999,87.290001,87.290001,972300
2023-05-24,87.279999,88.300003,86.599998,87.690002,87.690002,1032800
2023-05-25,87.129997,87.680000,86.800003,87.209999,87.209999,1013600
2023-05-26,86.790001,87.300003,86.059998,86.930000,86.930000,1070100
2023-05-30,86.190002,86.519997,85.059998,85.419998,85.419998,1390300
2023-05-31,85.610001,86.570000,84.760002,85.730003,85.730003,6040500
2023-06-01,86.410004,87.620003,86.379997,87.580002,87.580002,1644700
2023-06-02,87.459999,88.540001,87.459999,88.459999,88.459999,1139300
2023-06-05,88.400002,89.610001,88.379997,88.760002,88.760002,814700
2023-06-06,91.750000,92.400002,89.589996,90.150002,90.150002,1718300
2023-06-07,89.250000,91.000000,88.320000,90.750000,90.750000,1419700
2023-06-08,90.610001,90.800003,89.419998,90.129997,90.129997,761100
2023-06-09,89.889999,90.959999,89.760002,90.669998,90.669998,693200
2023-06-12,90.879997,91.000000,90.190002,90.629997,90.629997,765700
2023-06-13,90.430000,91.080002,90.199997,90.339996,90.339996,898000
2023-06-14,90.790001,91.269997,90.389999,90.980003,90.980003,759100
2023-06-15,91.370003,92.059998,90.879997,91.980003,91.980003,1303100
2023-06-16,92.050003,93.300003,91.980003,92.650002,92.650002,1714000
2023-06-20,93.279999,94.250000,92.930000,92.940002,92.940002,2782400
2023-06-21,92.769997,93.699997,92.389999,93.309998,93.309998,1776200
2023-06-22,93.889999,94.139999,93.349998,93.750000,93.750000,1293400
2023-06-23,94.269997,94.389999,93.500000,93.790001,93.790001,1779900
2023-06-26,93.750000,93.750000,92.709999,93.290001,93.290001,1853300
2023-06-27,93.519997,93.769997,92.720001,93.250000,93.250000,2792200
2023-06-28,92.449997,92.470001,91.080002,91.849998,91.849998,3916600
2023-06-29,90.830002,90.830002,86.290001,86.779999,86.779999,4993700
2023-06-30,87.599998,87.989998,86.500000,87.230003,87.230003,2368600
2023-07-03,87.239998,88.169998,86.500000,88.169998,88.169998,1164900
2023-07-05,87.830002,87.970001,86.889999,87.070000,87.070000,1883700
